promotion_id,sku,discount_pct
PRM-001,QX-CHL-615,23
PRM-001,QX-CHL-943,22
PRM-001,QX-BWS-289,29
PRM-001,QX-DRK-713,31
PRM-001,QX-CHL-662,20
PRM-001,QX-DRY-173,28
PRM-001,QX-CHL-547,28
PRM-001,QX-BWS-285,6
PRM-001,QX-PRO-927,12
PRM-001,QX-DRY-272,40
PRM-001,QX-BWS-691,21
PRM-001,QX-PET-783,21
PRM-001,QX-PRO-203,18
PRM-001,QX-TIN-436,15
PRM-001,QX-CER-151,33
PRM-001,QX-HHD-826,30
PRM-001,QX-HBC-370,10
PRM-001,QX-DRY-819,21
PRM-001,QX-DRY-024,11
PRM-002,QX-BWS-163,16
PRM-002,QX-CER-653,34
PRM-002,QX-DRK-446,27
PRM-002,QX-PRO-060,22
PRM-002,QX-PET-202,18
PRM-002,QX-HHD-388,22
PRM-002,QX-CHL-306,12
PRM-002,QX-PRO-923,12
PRM-002,QX-HHD-452,31
PRM-002,QX-DRK-186,7
PRM-002,QX-BAK-209,9
PRM-002,QX-CHL-032,27
PRM-002,QX-BWS-190,23
PRM-002,QX-HBC-276,29
PRM-002,QX-TIN-900,6
PRM-002,QX-HHD-813,19
PRM-002,QX-CER-763,26
PRM-002,QX-CHL-775,12
PRM-003,QX-PET-181,33
PRM-003,QX-CHL-442,14
PRM-003,QX-TIN-161,29
PRM-003,QX-DRK-426,34
PRM-003,QX-CER-981,8
PRM-003,QX-HHD-708,38
PRM-003,QX-TIN-715,27
PRM-003,QX-DRK-152,11
PRM-003,QX-CHL-365,24
PRM-003,QX-PET-276,35
PRM-003,QX-BAK-667,24
PRM-003,QX-CER-249,11
PRM-003,QX-TIN-715,30
PRM-003,QX-FRZ-983,21
PRM-003,QX-BWS-821,12
PRM-003,QX-BAK-232,31
PRM-003,QX-BAK-650,36
PRM-003,QX-CHL-716,15
PRM-003,QX-DRY-863,8
PRM-003,QX-FRZ-308,10
PRM-003,QX-PET-980,11
